inbound_date,delivery_note_id,product_id,received_qty,rejected_qty,rejected_reason
2024-04-25,673471,575031,2116,101,Quality Issue
2024-06-22,768318,936723,1063,22,Quality Issue
2023-04-10,758277,560001,2454,0,
2022-12-31,220050,162930,2439,0,
2022-03-09,202246,568882,1176,0,
2023-06-18,102086,171063,1484,0,
2022-08-03,821977,504920,1817,0,
2022-08-11,494895,830904,1302,0,
2022-03-13,224838,855655,1117,0,
2023-04-16,610523,273364,1173,0,
2022-04-13,953336,973506,1948,0,
2023-06-14,118709,584653,2260,0,
2023-05-22,324967,247192,2146,39,Regulatory issue
2023-08-09,218907,164756,586,0,
2022-06-13,196414,467936,859,0,
2022-10-16,109943,203576,746,0,
2022-04-07,999863,850446,237,0,
2023-01-20,146458,992558,324,0,
2023-05-15,881958,671414,2277,0,
2022-03-28,282425,938009,1120,0,
2024-10-21,640036,703168,2005,0,
2022-07-13,404094,851805,1614,0,
2024-10-31,325877,806847,1244,0,
2023-06-25,574010,564312,2174,0,
2024-05-06,701608,209915,1677,0,
2023-08-13,212368,188885,1695,0,
2023-09-10,366883,619978,366,0,
2022-05-13,921788,251652,1124,0,
2024-12-03,105278,168986,1325,12,Quality Issue
2022-05-13,349393,234747,592,0,
2024-02-25,515106,975738,1684,0,
2024-11-05,397502,882856,567,0,
2022-09-25,691075,841597,710,0,
2024-03-26,378744,404670,2119,0,
2024-08-01,644418,810523,123,0,
2024-06-28,855526,861337,1566,0,
2024-05-09,270090,996481,1216,0,
2024-11-15,891077,925426,2370,0,
2023-01-07,186611,495196,715,0,
2022-01-22,631246,390134,981,0,
2024-02-02,553862,465843,2278,0,
2022-10-23,456210,969212,251,0,
2023-03-08,579137,944462,2402,0,
2022-10-30,553862,465843,2199,0,
2024-01-16,384933,112302,1842,0,
2022-09-01,310583,332104,2033,0,
2022-03-17,665442,173408,1643,24,Quality Issue
2023-03-27,493628,150615,165,0,
2024-05-13,470963,935509,1454,0,
2023-10-20,413485,319881,291,0,
2023-10-17,422159,748776,1787,0,
2022-03-27,748400,645351,758,0,
2022-05-31,314447,828707,293,0,
2024-09-12,185951,608301,1095,0,
2023-12-14,112424,690495,1557,0,
2024-08-09,316147,545753,589,0,
2022-08-12,657826,546568,1158,0,
2022-10-16,243110,203294,1705,0,
2024-05-11,338152,421354,1506,0,
2024-07-01,254751,738343,1526,0,
2022-11-30,202246,568882,872,0,
2023-12-08,243980,574159,2022,0,
2024-02-04,739708,553150,1022,0,
2024-02-07,198943,596220,1644,0,
2023-09-14,733477,567970,1939,0,
