inbound_date,supplier_id,delivery_note_id,product_id,received_qty,rejected_qty,inbound_status,rejected_reason,unloading_started_time,unloading_completed_time,inbound_putaway_completed_time
2024-04-25,SUP042,673471,575031,2116,101,Rejected,Quality Issue,10:49:00,13:42:00,14:26:00
2024-06-22,SUP097,768318,936723,1063,22,Rejected,Quality Issue,10:56:00,13:47:00,13:58:00
2023-04-10,SUP045,758277,560001,2454,0,Accepted,,11:32:00,13:15:00,13:29:00
2022-12-31,SUP083,220050,162930,2439,0,Accepted,,13:43:00,15:56:00,16:07:00
2022-03-09,SUP020,202246,568882,1176,0,Accepted,,09:03:00,10:58:00,11:40:00
2023-06-18,SUP084,102086,171063,1484,0,Accepted,,13:07:00,14:19:00,15:03:00
2022-08-03,SUP004,821977,504920,1817,0,Accepted,,13:56:00,15:10:00,15:23:00
2022-08-11,SUP041,494895,830904,1302,0,Accepted,,10:37:00,12:28:00,12:58:00
2022-03-13,SUP026,224838,855655,1117,0,Accepted,,10:37:00,13:04:00,13:20:00
2023-04-16,SUP007,610523,273364,1173,0,Accepted,,13:29:00,15:23:00,15:57:00
2022-04-13,SUP080,953336,973506,1948,0,Accepted,,10:51:00,13:42:00,13:59:00
2023-06-14,SUP065,118709,584653,2260,0,Accepted,,10:00:00,11:38:00,12:02:00
2023-05-22,SUP049,324967,247192,2146,39,Rejected,Regulatory issue,14:00:00,15:18:00,16:00:00
2023-08-09,SUP057,218907,164756,586,0,Accepted,,14:54:00,17:45:00,18:14:00
2022-06-13,SUP019,196414,467936,859,0,Accepted,,14:23:00,15:30:00,16:01:00
2022-10-16,SUP040,109943,203576,746,0,Accepted,,11:50:00,14:26:00,14:43:00
2022-04-07,SUP039,999863,850446,237,0,Accepted,,13:41:00,16:22:00,16:55:00
2023-01-20,SUP056,146458,992558,324,0,Accepted,,11:02:00,13:02:00,13:35:00
2023-05-15,SUP028,881958,671414,2277,0,Accepted,,13:20:00,15:36:00,15:46:00
2022-03-28,SUP065,282425,938009,1120,0,Accepted,,10:21:00,11:54:00,12:07:00
2024-10-21,SUP008,640036,703168,2005,0,Accepted,,13:48:00,14:54:00,15:27:00
2022-07-13,SUP023,404094,851805,1614,0,Accepted,,12:20:00,13:49:00,14:20:00
2024-10-31,SUP021,325877,806847,1244,0,Accepted,,13:10:00,15:34:00,16:14:00
2023-06-25,SUP065,574010,564312,2174,0,Accepted,,13:34:00,16:23:00,17:00:00
2024-05-06,SUP085,701608,209915,1677,0,Accepted,,12:21:00,15:03:00,15:36:00
2023-08-13,SUP098,212368,188885,1695,0,Accepted,,12:49:00,14:21:00,15:05:00
2023-09-10,SUP033,366883,619978,366,0,Accepted,,12:52:00,15:29:00,15:57:00
2022-05-13,SUP052,921788,251652,1124,0,Accepted,,11:50:00,13:24:00,13:58:00
2024-12-03,SUP017,105278,168986,1325,12,Rejected,Quality Issue,14:53:00,16:23:00,16:47:00
2022-05-13,SUP039,349393,234747,592,0,Accepted,,11:29:00,14:20:00,14:37:00
