outbound_date,order_id,customer_id,product_id,ordered_qty,picked_qty,pick_sheet_issued_time,pick_completed_time,vehicle_no,loading_completed_time
2022-06-14,ORD00001,CUST016,934631,321,321,21:15:00,22:26:00,975958,22:49:00
2022-09-04,ORD00002,CUST002,186200,39,39,22:12:00,23:11:00,834169,23:38:00
2023-12-07,ORD00003,CUST004,472716,971,971,22:26:00,23:42:00,679149,00:11:00
2023-12-22,ORD00004,CUST094,235128,973,973,23:24:00,23:58:00,491934,00:28:00
2022-03-11,ORD00005,CUST082,637304,769,769,22:03:00,23:31:00,834169,00:05:00
2023-02-06,ORD00006,CUST042,568380,279,279,21:28:00,22:54:00,284331,23:31:00
2023-04-21,ORD00007,CUST014,469613,574,574,21:39:00,23:05:00,417866,23:27:00
2022-04-10,ORD00008,CUST092,504971,881,881,23:25:00,00:11:00,459040,00:50:00
2024-06-19,ORD00009,CUST088,187536,997,997,22:41:00,00:01:00,975958,00:34:00
2022-02-25,ORD00010,CUST039,435265,715,715,21:55:00,22:51:00,755796,23:17:00
2023-08-07,ORD00011,CUST065,857773,624,624,22:25:00,23:55:00,975958,00:21:00
2024-12-07,ORD00012,CUST049,583015,373,373,21:40:00,22:18:00,603843,22:52:00
2024-11-09,ORD00013,CUST080,767154,819,351,23:15:00,00:08:00,376342,00:47:00
2022-07-06,ORD00014,CUST023,130482,933,933,23:09:00,00:35:00,639369,01:15:00
2024-05-13,ORD00015,CUST011,142044,251,251,23:16:00,23:48:00,417866,00:21:00
2024-06-28,ORD00016,CUST028,793580,699,699,22:39:00,23:36:00,133960,00:12:00
2022-04-17,ORD00017,CUST039,793417,955,955,23:04:00,00:10:00,755796,00:48:00
2024-01-02,ORD00018,CUST051,726426,193,193,21:45:00,22:27:00,740803,23:07:00
2022-11-27,ORD00019,CUST014,286440,720,720,21:44:00,22:49:00,104015,23:14:00
2022-11-10,ORD00020,CUST044,241688,985,985,23:54:00,00:42:00,842083,01:05:00
2024-11-21,ORD00021,CUST084,164756,767,767,23:25:00,00:49:00,498289,01:14:00
2023-07-16,ORD00022,CUST044,719004,404,404,23:09:00,23:47:00,725173,00:17:00
2023-01-06,ORD00023,CUST002,421354,130,130,22:11:00,23:33:00,793668,23:56:00
2022-11-26,ORD00024,CUST087,299666,884,884,21:47:00,22:53:00,969104,23:13:00
2023-04-11,ORD00025,CUST071,976864,663,663,21:37:00,22:49:00,459040,23:15:00
2022-09-26,ORD00026,CUST083,724497,321,321,22:53:00,00:00:00,376342,00:27:00
2023-04-18,ORD00027,CUST015,880654,480,480,22:08:00,23:23:00,376342,23:54:00
2022-11-07,ORD00028,CUST003,969554,266,266,21:47:00,22:42:00,842083,23:14:00
2024-03-16,ORD00029,CUST091,149870,42,42,21:50:00,22:25:00,965360,22:50:00
2023-09-13,ORD00030,CUST081,760117,391,53,23:08:00,23:50:00,679149,00:27:00
2022-01-20,ORD00031,CUST069,991620,145,145,22:47:00,23:34:00,975958,00:10:00
2022-12-30,ORD00032,CUST074,699969,121,121,22:21:00,23:00:00,376342,23:22:00
2023-03-16,ORD00033,CUST057,439449,105,105,23:16:00,23:54:00,202921,00:21:00
