inspection_date,vehicle_no,good_truckbox,good_truckfloor,good_truckdoor,good_curtain,good_cooling_unit,pest_check,odor_check
2022-06-14,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-04,834169,Yes,Yes,Yes,No,Yes,Yes,Yes
2023-12-07,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-22,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-11,834169,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-02-06,284331,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-21,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-10,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-19,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-25,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-07,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-07,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-09,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-07-06,639369,Yes,No,Yes,Yes,Yes,Yes,Yes
2024-05-13,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-28,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-17,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-02,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-27,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-10,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-21,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-16,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-06,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-26,969104,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-11,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-26,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-18,376342,No,Yes,Yes,Yes,Yes,Yes,Yes
2022-11-07,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-16,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-13,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-01-20,975958,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-12-30,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-16,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-07,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-02,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-29,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-22,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-11,975958,Yes,Yes,Yes,Yes,Yes,Yes,No
2024-01-01,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-28,965360,Yes,Yes,Yes,Yes,Yes,Yes,No
2022-07-15,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-09-22,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-03,761087,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-27,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-14,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-10-29,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-06,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-24,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-27,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-02-22,639369,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-08-27,679149,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-02,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-02,669128,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-21,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-04-20,747240,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-18,834169,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-10-29,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-24,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-23,563945,Yes,Yes,Yes,No,Yes,Yes,Yes
2024-05-08,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-11-06,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-09-10,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-02,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-06-25,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-05,755796,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-12-19,805995,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-28,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-12-28,376747,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-03-30,725173,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-28,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-05-07,684492,Yes,Yes,No,Yes,Yes,Yes,Yes
2024-07-22,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-27,385905,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-05-02,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-01-21,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-09-18,852208,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-21,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-06,124266,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-01,610841,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-22,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-08-05,332153,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-07-17,498289,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-24,684492,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-15,842083,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-08-01,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-01,491934,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-08,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-07-28,147795,Yes,Yes,Yes,Yes,Yes,No,Yes
2022-07-12,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-05,833447,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-04-11,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-01,417866,Yes,No,Yes,Yes,Yes,Yes,Yes
2023-04-21,376342,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-10-23,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-11,965360,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-06-30,459040,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-02-11,417866,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-18,740803,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-06-13,104015,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-02-13,610841,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-08-12,793668,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-01-08,915260,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-05-08,133960,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2022-03-18,603843,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2024-04-16,271604,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-28,202921,Yes,Yes,Yes,Yes,Yes,Yes,Yes
