monitoring_date,location_code,inspection_time,temperature
2022-06-14,A01 Room,12.00AM,-15
2022-06-14,A01 Room,03.00AM,-18
2022-06-14,A01 Room,06.00AM,-21
2022-06-14,A01 Room,09.00AM,-17
2022-06-14,A01 Room,12.00PM,-16
2022-06-14,A01 Room,03.00PM,-20
2022-06-14,A01 Room,06.00PM,-19
2022-06-14,A01 Room,09.00PM,-16
2022-06-14,B01 Room,12.00AM,-15
2022-06-14,B01 Room,03.00AM,-17
2022-06-14,B01 Room,06.00AM,-15
2022-06-14,B01 Room,09.00AM,-17
2022-06-14,B01 Room,12.00PM,-21
2022-06-14,B01 Room,03.00PM,-16
2022-06-14,B01 Room,06.00PM,-16
2022-06-14,B01 Room,09.00PM,-18
2022-06-14,C01 Room,12.00AM,-21
2022-06-14,C01 Room,03.00AM,-16
2022-06-14,C01 Room,06.00AM,-19
2022-06-14,C01 Room,09.00AM,-16
2022-06-14,C01 Room,12.00PM,-20
2022-06-14,C01 Room,03.00PM,-15
2022-06-14,C01 Room,06.00PM,-20
2022-06-14,C01 Room,09.00PM,-21
2022-06-14,D01 Room,12.00AM,-16
2022-06-14,D01 Room,03.00AM,-20
2022-06-14,D01 Room,06.00AM,-18
2022-06-14,D01 Room,09.00AM,-17
2022-06-14,D01 Room,12.00PM,-15
2022-06-14,D01 Room,03.00PM,-15
2022-06-14,D01 Room,06.00PM,-21
2022-06-14,D01 Room,09.00PM,-15
2022-06-14,Inbound Bay,12.00AM,9
2022-06-14,Inbound Bay,03.00AM,11
2022-06-14,Inbound Bay,06.00AM,10
2022-06-14,Inbound Bay,09.00AM,12
2022-06-14,Inbound Bay,12.00PM,7
2022-06-14,Inbound Bay,03.00PM,10
2022-06-14,Inbound Bay,06.00PM,13
2022-06-14,Inbound Bay,09.00PM,7
2022-06-14,Outbound Bay,12.00AM,13
2022-06-14,Outbound Bay,03.00AM,9
2022-06-14,Outbound Bay,06.00AM,13
2022-06-14,Outbound Bay,09.00AM,11
2022-06-14,Outbound Bay,12.00PM,11
2022-06-14,Outbound Bay,03.00PM,10
2022-06-14,Outbound Bay,06.00PM,13
